,name,parent,numeral,discovery_year,year_announced,discovered_by,notes,mean_radius_km,orbital_semi_km,sidereal_period
66,S/2017 J 3,Jupiter,64.0,2017.0,2018.0,Sheppard,Retrograde irregular (Ananke),1.0,206,605.8
67,Pandia,Jupiter,65.0,2017.0,2018.0,Sheppard,Prograde irregular (Himalia),1.5,114,251.8
68,S/2017 J 5,Jupiter,66.0,2017.0,2018.0,Sheppard,Retrograde irregular (Carme),1.0,231,720.5
69,S/2017 J 6,Jupiter,67.0,2017.0,2018.0,Sheppard,Retrograde irregular (Pasiphae),1.0,223,684.7
70,S/2017 J 7,Jupiter,68.0,2017.0,2018.0,Sheppard,Retrograde irregular (Ananke),1.0,205,602.8
71,S/2017 J 8,Jupiter,69.0,2017.0,2018.0,Sheppard,Retrograde irregular (Carme),0.5,231,720.7
72,S/2017 J 9,Jupiter,70.0,2017.0,2018.0,Sheppard,Retrograde irregular (Ananke),1.0,214,640.9
73,Ersa,Jupiter,71.0,2018.0,2018.0,Sheppard,Prograde irregular (Himalia),1.5,114,250.4
74,S/2011 J 1,Jupiter,72.0,2011.0,2012.0,Sheppard,Retrograde irregular (Carme),0.5,201,580.7
75,S/2003 J 2,Jupiter,,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Ananke),1.0,205,602.02
76,S/2003 J 4,Jupiter,,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Pasiphae),1.0,220,668.85
77,S/2003 J 9,Jupiter,,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Carme),0.5,241,767.6
78,S/2003 J 10,Jupiter,,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Carme?),1.0,228,707.78
79,S/2003 J 12,Jupiter,,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Ananke),0.5,215,646.64
80,S/2003 J 16,Jupiter,,2003.0,2003.0,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen",Retrograde irregular (Ananke),1.0,205,600.18
81,S/2003 J 23,Jupiter,,2003.0,2004.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Pasiphae),1.0,246,792.0
82,S/2003 J 24,Jupiter,,2003.0,2021.0,"Sheppard, Jewitt, Kleyna, Gladman, Veillet",Retrograde irregular (Carme),1.5,230,715.4
83,S/2011 J 3,Jupiter,,2011.0,2022.0,Sheppard,Prograde irregular (Himalia),1.5,117,261.77
84,S/2016 J 3,Jupiter,,2016.0,2023.0,Sheppard,Retrograde irregular (Carme),1.0,222,676.37
85,S/2016 J 4,Jupiter,,2016.0,2023.0,Sheppard,Retrograde irregular (Pasiphae),1.0,236,743.69
86,S/2018 J 2,Jupiter,,2018.0,2022.0,Sheppard,Prograde irregular (Himalia),1.5,114,250.88
87,S/2018 J 3,Jupiter,,2018.0,2023.0,Sheppard,Retrograde irregular (Carme),0.5,228,704.56
88,S/2018 J 4,Jupiter,,2018.0,2023.0,Sheppard,Prograde irregular (Carpo),1.0,165,433.16
89,S/2021 J 1,Jupiter,,2021.0,2023.0,Sheppard,Retrograde irregular (Ananke),0.5,206,606.99
90,S/2021 J 2,Jupiter,,2021.0,2023.0,Sheppard,Retrograde irregular (Ananke),0.5,211,627.96
91,S/2021 J 3,Jupiter,,2021.0,2023.0,Sheppard,Retrograde irregular (Ananke),1.0,214,643.85
92,S/2021 J 4,Jupiter,,2021.0,2023.0,Sheppard,Retrograde irregular (Carme),0.5,229,710.13
93,S/2021 J 5,Jupiter,,2021.0,2023.0,"Sheppard, Tholen, Trujillo",Retrograde irregular (Carme),1.0,228,704.8
94,S/2021 J 6,Jupiter,,2021.0,2023.0,"Sheppard, Tholen, Trujillo",Retrograde irregular (Carme),0.5,234,732.55
95,S/2022 J 1,Jupiter,,2022.0,2023.0,Sheppard,Retrograde irregular (Carme),0.5,220,667.34
96,S/2022 J 2,Jupiter,,2022.0,2023.0,Sheppard,Retrograde irregular (Carme),0.5,224,685.51
97,S/2022 J 3,Jupiter,,2022.0,2023.0,Sheppard,Retrograde irregular (Ananke),0.5,209,617.82
98,Mimas,Saturn,1.0,1789.0,1789.0,Herschel,Main-group moon,198.2,185,0.942
99,Enceladus,Saturn,2.0,1789.0,1789.0,Herschel,Main-group moon,252.1,238,1.37
100,Tethys,Saturn,3.0,1684.0,1686.0,Cassini,Main-group moon (Sidera Lodoicea),533.1,294,1.888
101,Dione,Saturn,4.0,1684.0,1686.0,Cassini,Main-group moon (Sidera Lodoicea),561.4,377,2.737
102,Rhea,Saturn,5.0,1672.0,1673.0,Cassini,Main-group moon (Sidera Lodoicea),763.8,527,4.518
103,Titan,Saturn,6.0,1655.0,1656.0,Huygens,Main-group moon,2574.73,122,15.95
104,Hyperion,Saturn,7.0,1848.0,1848.0,"W.Bond, G. Bond, and Lassell",Main-group moon,135.0,150,21.28
105,Iapetus,Saturn,8.0,1671.0,1673.0,Cassini,Main-group moon (Sidera Lodoicea),735.6,356,79.33
106,Phoebe,Saturn,9.0,1898.0,1899.0,Pickering,Retrograde irregular (Norse),106.5,129,550.31
107,Janus,Saturn,10.0,1966.0,1967.0,Dollfus; Voyager 1 (confirmed),Inner moon (co-orbital),89.5,151,0.695
108,Epimetheus,Saturn,11.0,1966.0,1967.0,Walker; Voyager 1 (confirmed),Inner moon (co-orbital),58.1,151,0.694
109,Helene,Saturn,12.0,1980.0,1980.0,"Laques, Lecacheux",Main-group trojan,17.6,377,2.737
110,Telesto,Saturn,13.0,1980.0,1980.0,"Smith, Reitsema, Larson, Fountain (Voyager 1)",Main-group trojan,12.4,294,1.888
111,Calypso,Saturn,14.0,1980.0,1980.0,"Pascu, Seidelmann, Baum, Currie",Main-group trojan,10.7,294,1.888
112,Atlas,Saturn,15.0,1980.0,1980.0,Terrile (Voyager 1),Inner moon (shepherd),15.1,137,0.602
113,Prometheus,Saturn,16.0,1980.0,1980.0,Collins (Voyager 1),Inner moon (shepherd),43.1,139,0.613
114,Pandora,Saturn,17.0,1980.0,1980.0,Collins (Voyager 1),Inner moon (shepherd),40.7,141,0.629
115,Pan,Saturn,18.0,1981.0,1990.0,Showalter (Voyager 2),Inner moon (shepherd),14.1,133,0.575
116,Ymir,Saturn,19.0,2000.0,2000.0,Gladman,Retrograde irregular (Norse),9.0,231,1315.58
117,Paaliaq,Saturn,20.0,2000.0,2000.0,Gladman,Prograde irregular (Inuit) (Paaliaq),11.0,152,686.95
118,Tarvos,Saturn,21.0,2000.0,2000.0,"Gladman, Kavelaars",Prograde irregular (Gallic),7.5,179,926.23
119,Ijiraq,Saturn,22.0,2000.0,2000.0,"Gladman, Kavelaars",Prograde irregular (Inuit) (Kiviuq),6.0,111,451.42
120,Suttungr,Saturn,23.0,2000.0,2000.0,"Gladman, Kavelaars",Retrograde irregular (Norse),3.5,194,1016.67
121,Kiviuq,Saturn,24.0,2000.0,2000.0,Gladman,Prograde irregular (Inuit) (Kiviuq),8.0,111,449.22
122,Mundilfari,Saturn,25.0,2000.0,2000.0,"Gladman, Kavelaars",Retrograde irregular (Norse),3.5,186,952.77
123,Albiorix,Saturn,26.0,2000.0,2000.0,"Holman, Spahr",Prograde irregular (Gallic),16.0,161,783.45
124,Skathi,Saturn,27.0,2000.0,2000.0,"Gladman, Kavelaars",Retrograde irregular (Norse),4.0,155,728.2
125,Erriapus,Saturn,28.0,2000.0,2000.0,"Gladman, Kavelaars",Prograde irregular (Gallic),5.0,173,871.19
126,Siarnaq,Saturn,29.0,2000.0,2000.0,"Gladman, Kavelaars",Prograde irregular (Inuit) (Siarnaq),20.0,180,896.44
127,Thrymr,Saturn,30.0,2000.0,2000.0,"Gladman, Kavelaars",Retrograde irregular (Norse),3.5,203,1094.11
128,Narvi,Saturn,31.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.5,190,1003.86
129,Methone,Saturn,32.0,2004.0,2004.0,"Porco, Charnoz, Brahic, Dones (Cassini–Huygens)",Alkyonide moon,1.45,194,1.01
130,Pallene,Saturn,33.0,2004.0,2004.0,"Gordon, Murray, Beurle, et al. (Cassini–Huygens)",Alkyonide moon,2.22,212,1.154
131,Polydeuces,Saturn,34.0,2004.0,2004.0,Porco et al. (Cassini–Huygens),Main-group trojan,1.3,377,2.737
132,Daphnis,Saturn,35.0,2005.0,2005.0,Porco et al. (Cassini–Huygens),Inner moon (shepherd),3.8,136,0.594
133,Aegir,Saturn,36.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),3.0,207,1117.52
134,Bebhionn,Saturn,37.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Prograde irregular (Gallic),3.0,171,834.84
135,Bergelmir,Saturn,38.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),3.0,193,1005.74
136,Bestla,Saturn,39.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),3.5,201,1088.72
137,Farbauti,Saturn,40.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),2.5,203,1085.55
138,Fenrir,Saturn,41.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),2.0,224,1260.35
139,Fornjot,Saturn,42.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),3.0,251,1494.2
140,Hati,Saturn,43.0,2004.0,2005.0,"Sheppard, Jewitt, Kleyna, Marsden",Retrograde irregular (Norse),3.0,198,1038.61
141,Hyrrokkin,Saturn,44.0,2004.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),4.0,184,931.86
142,Kari,Saturn,45.0,2006.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.5,220,1230.97
143,Loge,Saturn,46.0,2006.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.0,230,1311.36
144,Skoll,Saturn,47.0,2006.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.0,176,878.29
145,Surtur,Saturn,48.0,2006.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.0,227,1297.36
146,Anthe,Saturn,49.0,2007.0,2007.0,Porco et al. (Cassini–Huygens),Alkyonide moon,0.9,197,1.0365
147,Jarnsaxa,Saturn,50.0,2006.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.0,188,964.74
148,Greip,Saturn,51.0,2006.0,2006.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.0,182,921.19
