,name,parent,numeral,discovery_year,year_announced,discovered_by,notes,mean_radius_km,orbital_semi_km,sidereal_period
195,S/2006 S 11,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),1.5,197,1018.45
196,S/2006 S 12,Saturn,,2006.0,2023.0,Sheppard et al.,"Prograde irregular (group unknown, possibly Gallic)",2.0,195,104.0
197,S/2006 S 13,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,199,1061.74
198,S/2006 S 14,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),1.5,210,1150.64
199,S/2006 S 15,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,217,1183.57
200,S/2006 S 16,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),1.5,217,1217.36
201,S/2006 S 17,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,223,1262.48
202,S/2006 S 18,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,227,1324.09
203,S/2006 S 19,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,238,1324.68
204,S/2006 S 20,Saturn,,2006.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.5,131,563.89
205,S/2007 S 2,Saturn,,2007.0,2007.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse),3.0,167,808.08
206,S/2007 S 3,Saturn,,2007.0,2007.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Norse?),3.0,189,977.8
207,S/2007 S 5,Saturn,,2007.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,158,748.5
208,S/2007 S 6,Saturn,,2007.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),1.5,185,944.31
209,S/2007 S 7,Saturn,,2007.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,159,742.79
210,S/2007 S 8,Saturn,,2007.0,2023.0,Sheppard et al.,Prograde irregular (Gallic),2.0,170,826.94
211,S/2007 S 9,Saturn,,2007.0,2023.0,Sheppard et al.,Retrograde irregular (Norse),2.0,201,1099.69
212,S/2009 S 1,Saturn,,2009.0,2009.0,Cassini Imaging Science Team Cassini–Huygens,B-ring moonlet,0.15,117,0.471
213,S/2019 S 1,Saturn,,2019.0,2021.0,"Ashton, Gladman, Petit, Alexandersen",Prograde irregular (Inuit) (Kiviuq),3.0,112,443.8
214,S/2019 S 2,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,165,796.22
215,S/2019 S 3,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,170,836.68
216,S/2019 S 4,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,179,898.4
217,S/2019 S 5,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,190,971.54
218,S/2019 S 6,Saturn,,2019.0,2023.0,Ashton et al.,Prograde irregular (Inuit) (Siarnaq),2.0,181,905.41
219,S/2019 S 7,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,201,1093.86
220,S/2019 S 8,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,202,1080.6
221,S/2019 S 9,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,203,1104.27
222,S/2019 S 10,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,207,1129.53
223,S/2019 S 11,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,206,1097.33
224,S/2019 S 12,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,209,1130.4
225,S/2019 S 13,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,209,1132.9
226,S/2019 S 14,Saturn,,2019.0,2023.0,Ashton et al.,Prograde irregular (Inuit) (Siarnaq),2.0,178,902.0
227,S/2019 S 15,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,211,1156.21
228,S/2019 S 16,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,232,1360.26
229,S/2019 S 17,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,227,1322.15
230,S/2019 S 18,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,231,1349.74
231,S/2019 S 19,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,230,1342.57
232,S/2019 S 20,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,236,1343.58
233,S/2019 S 21,Saturn,,2019.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,264,1572.06
234,S/2020 S 1,Saturn,,2020.0,2023.0,Ashton et al.,Prograde irregular (Inuit) (Kiviuq),2.0,113,450.83
235,S/2020 S 2,Saturn,,2020.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,178,907.0
236,S/2020 S 3,Saturn,,2020.0,2023.0,Ashton et al.,Prograde irregular (Inuit) (Siarnaq),1.5,180,896.35
237,S/2020 S 4,Saturn,,2020.0,2023.0,Ashton et al.,Prograde irregular (Gallic),1.5,182,910.34
238,S/2020 S 5,Saturn,,2020.0,2023.0,Ashton et al.,Prograde irregular (Inuit) (Siarnaq),1.5,183,933.52
239,S/2020 S 6,Saturn,,2020.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,212,1149.11
240,S/2020 S 7,Saturn,,2020.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,174,844.85
241,S/2020 S 8,Saturn,,2020.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,219,1201.72
242,S/2020 S 9,Saturn,,2020.0,2023.0,Ashton et al.,Retrograde irregular (Norse),2.0,254,1565.23
243,S/2020 S 10,Saturn,,2020.0,2023.0,Ashton et al.,Retrograde irregular (Norse),1.5,253,1479.87
244,Ariel,Uranus,1.0,1851.0,1851.0,Lassell,Main-group moon,578.9,190,2.52
245,Umbriel,Uranus,2.0,1851.0,1851.0,Lassell,Main-group moon,584.7,266,4.144
246,Titania,Uranus,3.0,1787.0,1787.0,Herschel,Main-group moon,788.9,436,8.706
247,Oberon,Uranus,4.0,1787.0,1787.0,Herschel,Main-group moon,761.4,583,13.46
